band,y,x
1,45.07999301,-81.50670824
1,45.07999301,-81.49785503
1,45.07999301,-81.48014862
1,45.0622866,-81.47129542
1,45.0622866,-81.40932298
1,45.05343339,-81.4358826
1,45.03572698,-81.4358826
1,45.01802057,-81.42702939
1,44.98260775,-81.36505696
1,44.96490135,-81.34735055
1,44.96490135,-81.33849735
1,44.92063532,-81.31193773
1,44.91178212,-81.32079094
1,44.85866289,-81.32079094
1,44.85866289,-81.27652491
1,44.77013084,-81.18799286
1,44.77013084,-81.17913966
1,45.26591031,-81.64835951
1,45.23049749,-81.70147874
1,45.23049749,-81.68377233
1,45.23049749,-81.67491913
1,45.23049749,-81.41817619
1,45.19508467,-81.51556144
1,45.18623147,-81.56868067
1,45.18623147,-81.48900183
1,45.17737826,-81.57753388
1,45.17737826,-81.46244221
1,45.17737826,-81.45358901
1,45.17737826,-81.4447358
1,45.16852506,-81.56868067
1,45.15967185,-81.55982747
1,45.15967185,-81.50670824
1,45.15967185,-81.48900183
1,45.15081865,-81.48014862
1,45.15081865,-81.38276337
1,45.14196544,-81.40932298
1,45.13311224,-81.54212106
1,45.13311224,-81.46244221
1,45.13311224,-81.4447358
1,45.11540583,-81.48014862
1,45.10655262,-81.47129542
1,45.09769942,-81.42702939
1,45.08884621,-81.42702939
1,45.0711398,-81.39161657
1,45.0622866,-81.42702939
1,45.05343339,-81.45358901
1,45.05343339,-81.42702939
1,45.04458019,-81.4358826
1,45.04458019,-81.42702939
1,45.02687378,-81.40932298
1,45.00916737,-81.42702939
1,45.00031416,-81.4358826
1,45.00031416,-81.42702939
1,45.00031416,-81.38276337
1,45.00031416,-81.37391016
1,45.00031416,-81.36505696
1,44.95604814,-81.34735055
1,44.92063532,-81.32079094
1,44.89407571,-81.32964414
1,44.8852225,-81.34735055
1,44.77898404,-81.19684607
1,44.77898404,-81.18799286
1,45.23049749,-81.4447358
1,45.21279108,-81.70147874
1,45.20393787,-81.65721272
1,45.20393787,-81.54212106
1,45.20393787,-81.53326785
1,45.19508467,-81.55097426
1,45.18623147,-81.57753388
1,45.18623147,-81.4447358
1,45.17737826,-81.51556144
1,45.17737826,-81.48014862
1,45.16852506,-81.51556144
1,45.16852506,-81.50670824
1,45.15967185,-81.55097426
1,45.15081865,-81.47129542
1,45.14196544,-81.50670824
1,45.14196544,-81.47129542
1,45.14196544,-81.4447358
1,45.14196544,-81.4358826
1,45.14196544,-81.42702939
1,45.13311224,-81.4358826
1,45.12425903,-81.40932298
1,45.11540583,-81.51556144
1,45.11540583,-81.48900183
1,45.11540583,-81.47129542
1,45.10655262,-81.50670824
1,45.10655262,-81.46244221
1,45.08884621,-81.26767171
1,45.07999301,-81.38276337
1,45.0622866,-81.4447358
1,45.0622866,-81.41817619
1,45.03572698,-81.46244221
1,45.03572698,-81.30308453
1,45.01802057,-81.41817619
1,45.01802057,-81.40932298
1,45.00916737,-81.38276337
1,45.00031416,-81.39161657
1,44.99146096,-81.42702939
1,44.98260775,-81.35620376
1,44.98260775,-81.33849735
1,44.97375455,-81.32964414
1,44.93834173,-81.36505696
1,44.93834173,-81.35620376
1,44.92948853,-81.35620376
1,44.90292891,-81.33849735
1,44.90292891,-80.98436915
1,44.89407571,-81.33849735
1,44.8852225,-81.32964414
1,44.72586482,-81.19684607
1,44.6993052,-81.23225889
1,44.6993052,-81.22340568
1,45.2570571,-81.64835951
1,45.23049749,-81.60409349
1,45.22164428,-81.68377233
1,45.21279108,-81.69262554
1,45.20393787,-81.66606592
1,45.20393787,-81.63950631
1,45.19508467,-81.64835951
1,45.19508467,-81.6306531
1,45.19508467,-81.53326785
1,45.19508467,-81.52441465
1,45.18623147,-81.52441465
1,45.18623147,-81.50670824
1,45.17737826,-81.49785503
1,45.15967185,-81.45358901
1,45.15967185,-81.42702939
1,45.15081865,-81.49785503
